nb_pieces,lien,titre,surface,nb_chambres,annee_constr,nb_features_int,features_int,features_ext,terrain,prix,type,villes,piscine,place_parking,cuisine_amenagee,ascenseur,sous_sol,balcons,terrasses,caves,garages
6,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/caudebec-les-elbeuf/maison-6-pieces-21479081,Maison T6 Caudebec-les-Elbeuf,112,4,0,8,"Cuisine Independante, 1 terrasse(s), 1 cave(s), 1 garage(s)",,1,218500,Maison,Caudebec-les-Elbeuf,0,0,0,0,0,0,1,1,1
3,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/le-neubourg/maison-3-pieces-21479076,Maison T3 Le Neubourg,49,1,2013,0,,,1,118000,Maison,Le Neubourg,0,0,0,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/arles/acheter/port-saint-louis-du-rhone/maison-3-pieces-21479072,Maison T3 Port-Saint-Louis-du-Rhone,70,2,1949,2,Cuisine Amenagee,,1,83000,Maison,Port-Saint-Louis-du-Rhone,0,0,1,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/elbeuf/appartement-3-pieces-21479067,Appartement T3 Elbeuf,64,2,0,2,1 cave(s),,0,92000,Appartement,Elbeuf,0,0,0,0,0,0,0,1,0
6,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/le-grand-quevilly/maison-6-pieces-21479066,Maison T6 Le Grand-Quevilly,135,5,1927,6,"Cuisine Amenagee/equipee, 1 terrasse(s), 1 cave(s)",,1,378420,Maison,Le Grand-Quevilly,0,0,1,0,0,0,1,1,0
2,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/le-neubourg/appartement-2-pieces-21479064,Appartement T2 pres de Le Neubourg,48,1,0,4,"Cuisine Amenagee, 1 terrasse(s)",,1,129000,Appartement,Le Neubourg,0,0,1,0,0,0,1,0,0
4,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/caudebec-les-elbeuf/appartement-4-pieces-21479057,Appartement T4 pres de Caudebec-les-Elbeuf,74,3,0,2,1 cave(s),,0,87000,Appartement,Caudebec-les-Elbeuf,0,0,0,0,0,0,0,1,0
3,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/saint-pierre-les-elbeuf/appartement-3-pieces-21479054,Appartement T3 pres de Saint-Pierre-les-Elbeuf,54,2,1965,2,2 cave(s),,0,68000,Appartement,Saint-Pierre-les-Elbeuf,0,0,0,0,0,0,0,2,0
3,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/saint-pierre-les-elbeuf/appartement-3-pieces-21479053,Appartement T3 pres de Saint-Pierre-les-Elbeuf,56,2,1965,0,,,0,68000,Appartement,Saint-Pierre-les-Elbeuf,0,0,0,0,0,0,0,0,0
2,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/elbeuf/appartement-2-pieces-21479051,Appartement T2 pres de Elbeuf,44,1,1971,4,"Cuisine Simple, Avec sous-sol",,0,61000,Appartement,Elbeuf,0,0,0,0,1,0,0,0,0
